H(A/m),B(T)
78.8292365379887,1.48692985504256
70.3859665379887,1.46731985504256
64.2645965379887,1.46077985504256
56.4545665379887,1.44770985504256
49.4888665379887,1.43463985504256
42.7342565379887,1.42809985504256
36.8239665379887,1.41502985504256
33.8688165379887,1.40848985504256
29.0139365379887,1.39541985504256
24.3701365379887,1.38234985504256
21.8371565379887,1.36927985504256
18.4598465379887,1.35620985504256
14.2382065379887,1.34313985504256
12.3384765379887,1.33659985504256
9.17224653798873,1.32352985504256
6.21710653798873,1.30391985504256
3.47303653798873,1.28430985504256
0.728976537988729,1.25816985504256
-1.38184346201127,1.23201985504256
-3.07049346201127,1.19933985504256
-4.54807346201127,1.14705985504256
-5.39239346201127,0.931369855042564
-5.81456346201127,0.663399855042564
-6.02564346201127,0.558819855042564
-6.44780346201127,0.408489855042565
-6.86997346201127,0.212419855042564
-7.29213346201127,-0.186280144957436
-7.71429346201127,-0.310460144957436
-8.34754346201127,-0.415030144957436
-8.76970346201127,-0.558830144957436
-9.40295346201127,-0.663400144957436
-10.2472734620113,-0.767980144957435
-11.0916034620113,-0.859480144957436
-11.7248534620113,-0.950980144957436
-13.2024234620113,-1.02288014495744
-14.6799934620113,-1.08824014495744
-16.1575634620113,-1.14052014495744
-17.8462234620113,-1.17974014495744
-19.7459634620113,-1.21896014495744
-22.0678534620113,-1.25164014495744
-24.3897534620113,-1.27778014495744
-26.5005734620113,-1.30392014495744
-28.8224734620113,-1.32353014495744
-31.3554534620113,-1.34968014495744
-34.9438434620113,-1.36928014495744
-38.9544034620113,-1.38889014495744
-43.1760334620113,-1.40196014495744
-47.6087534620113,-1.42811014495744
-55.4187834620113,-1.44771014495744
-60.6958234620113,-1.46079014495744
-64.4953034620113,-1.46732014495744
-71.6720834620113,-1.48039014495744
-79.0599434620113,-1.48693014495744
-79.0599434620113,-1.48693014495744
-67.8726034620113,-1.48039014495744
-57.5296034620113,-1.45425014495744
-49.9306534620113,-1.44771014495744
-47.6087534620113,-1.44118014495744
-43.1760334620113,-1.43464014495744
-38.9544034620113,-1.42811014495744
-35.3660134620113,-1.41503014495744
-32.1997834620113,-1.40850014495744
-28.8224734620113,-1.40196014495744
-25.8673334620113,-1.39543014495744
-22.7011034620113,-1.38235014495744
-19.7459634620113,-1.37582014495744
-17.0018934620113,-1.36928014495744
-13.2024234620113,-1.34968014495744
-10.4583634620113,-1.33660014495744
-7.92537346201127,-1.32353014495744
-5.18131346201127,-1.30392014495744
-2.43725346201127,-1.28432014495744
0.306816537988729,-1.25817014495744
2.83979653798873,-1.21896014495744
4.31736653798873,-1.14706014495744
5.16169653798873,-1.06209014495744
5.37277653798873,-0.826800144957435
5.79493653798873,-0.709150144957435
6.00601653798873,-0.539220144957436
6.63926653798873,-0.218960144957436
7.06142653798873,-0.0424901449574356
7.27250653798873,0.225489855042564
7.69467653798873,0.428099855042564
8.11683653798873,0.539209855042564
8.96116653798873,0.663399855042564
9.80549653798873,0.767969855042564
10.6498165379887,0.892149855042564
11.7052265379887,0.977119855042564
13.3938865379887,1.04901985504256
15.0825365379887,1.12090985504256
17.4044365379887,1.17319985504256
19.7263365379887,1.21894985504256
22.0482365379887,1.25162985504256
24.7922965379887,1.29084985504256
27.7474465379887,1.31698985504256
30.7025865379887,1.33659985504256
33.6577365379887,1.35620985504256
36.6128765379887,1.37580985504256
39.3569465379887,1.38888985504256
42.9453365379887,1.40195985504256
46.7448065379887,1.41502985504256
50.9664465379887,1.42809985504256
54.3437465379887,1.43463985504256
61.7316165379887,1.45424985504256
72.7078665379887,1.46731985504256
78.8292365379887,1.48692985504256
