H(A/m),B(T)
779.862142064404,1.3126656295773
769.862142064404,1.3124156705773
759.862142064404,1.3122356995773
749.862142064404,1.3120986705773
739.862142064404,1.3119485645773
729.862142064404,1.3113891255773
719.862142064404,1.3111543855773
709.862142064404,1.3117379215773
699.862142064404,1.3119365135773
689.862142064404,1.3111717905773
679.862142064404,1.3111466705773
669.862142064404,1.3111436165773
659.862142064404,1.3109876465773
649.862142064404,1.3107328895773
639.862142064404,1.3103546535773
629.862142064404,1.3101094235773
619.862142064404,1.3099710685773
609.862142064404,1.3096643365773
599.862142064404,1.3090835865773
589.862142064404,1.3089838955773
579.862142064404,1.3093886225773
569.862142064404,1.3095344535773
559.862142064404,1.3091231965773
549.862142064404,1.3085778075773
539.862142064404,1.3079864315773
529.862142064404,1.3074481445773
519.862142064404,1.3072116185773
509.862142064404,1.3070637125773
499.862142064404,1.3070226705773
489.862142064404,1.3070226705773
479.862142064404,1.3070226705773
469.862142064404,1.3067976945773
459.862142064404,1.3061469275773
449.862142064404,1.3057265335773
439.862142064404,1.3056111785773
429.862142064404,1.3055153985773
419.862142064404,1.3052686545773
409.862142064404,1.3046743715773
399.862142064404,1.3039500935773
389.862142064404,1.3032222615773
379.862142064404,1.3024131255773
369.862142064404,1.3016031935773
359.862142064404,1.3009095635773
349.862142064404,1.3001918165773
339.862142064404,1.2991568705773
329.862142064404,1.2973600885773
319.862142064404,1.2948607515773
309.862142064404,1.2918617165773
299.862142064404,1.2879708835773
289.862142064404,1.2830613405773
279.862142064404,1.2770567995773
269.862142064404,1.2692255035773
259.862142064404,1.2593309175773
249.862142064404,1.2469838285773
239.862142064404,1.2302749305773
229.862142064404,1.2096737735773
219.862142064404,1.1855082055773
209.862142064404,1.1552819705773
199.862142064404,1.1200336105773
189.862142064404,1.0807925135773
179.862142064404,1.0345724265773
169.862142064404,0.983789633577302
159.862142064404,0.931736480577302
149.862142064404,0.877052603577302
139.862142064404,0.820252414577302
129.862142064404,0.762781559577302
119.862142064404,0.703939691577302
109.862142064404,0.644364730577302
99.8621420644038,0.585520629577302
89.8621420644038,0.527756750577302
79.8621420644038,0.470342037577302
69.8621420644038,0.412645065577302
59.8621420644038,0.354327842577302
49.8621420644038,0.295725564577302
39.8621420644038,0.237200061577302
29.8621420644038,0.178985913577302
19.8621420644038,0.120924907577302
9.86214206440382,0.0628657065773017
-0.137857935596179,0.00470106657730169
-10.1378579355962,-0.0535137214226983
-20.1378579355962,-0.111748265422698
-30.1378579355962,-0.169986838422698
-40.1378579355962,-0.228248975422698
-50.1378579355962,-0.286499872422698
-60.1378579355962,-0.344698164422698
-70.1378579355962,-0.402841824422698
-80.1378579355962,-0.460957602422698
-90.1378579355962,-0.519073107422698
-100.137857935596,-0.577221292422698
