H(A/m),B(T)
12452.01,0.347202788
11883.2,0.344001782
11545.3,0.339972802
11125.61,0.336853942
10747.8,0.331525122
10267.38,0.325870042
9809.75,0.317954711
9234.57,0.311930607
8585.95,0.301078566
7977.23,0.293196988
7320.27,0.282005605
6656.95,0.268648872
6069.78,0.255295746
5397.89,0.238994776
4795.54,0.223925637
4140.55,0.207317029
3431.19,0.186562173
2858.47,0.167925906
2195.4,0.147031902
1735.55,0.123788665
1131.24,0.100482283
465.96,0.077086126
-94.52,0.053505947
-705.19,0.029836397
-1370.47,0.006229778
-1975.27,-0.016971989
-2537.71,-0.040659862
-3199.07,-0.063945849
-3903.53,-0.087496484
-4554.36,-0.111426976
-5173.36,-0.131936725
-5736.04,-0.155440739
-6397.4,-0.176543068
-6852.6,-0.197189012
-7461.31,-0.215567945
-7981.64,-0.233441182
-8449.56,-0.252314086
-8930.22,-0.267782798
-9492.65,-0.283498967
-9872.67,-0.296828556
-10344.76,-0.307563994
-10858.96,-0.317905099
-11230.66,-0.326488584
-11555.83,-0.334566335
-11933.4,-0.339329203
-12468.9,-0.353761843
-12223.31,-0.352321938
-12009.3,-0.350356055
-11759.55,-0.348240029
-11314.64,-0.343852958
-10982.86,-0.338134719
-10515.18,-0.332035242
-9866.31,-0.324339986
-9398.38,-0.319226793
-8781.34,-0.308296048
-8132.71,-0.299706582
-7559.5,-0.288844073
-6850.64,-0.275443258
-6202.25,-0.262328918
-5591.09,-0.249037732
-4934.38,-0.23300577
-4319.54,-0.213974554
-3666.75,-0.195777004
-3013.96,-0.174777531
-2531.34,-0.154570694
-1920.42,-0.130440422
-1267.87,-0.107297051
-705.19,-0.083464175
-153.28,-0.060118397
-2.2,-0.057218694
553.87,-0.034433351
1175.32,-0.010750254
1834.23,0.01353241
2531.1,0.036284226
3089.13,0.060084945
3754.65,0.083481403
4382.22,0.106830172
5026.44,0.127253226
5637.12,0.150896488
6187.07,0.172108748
6670.18,0.192460903
7322.23,0.211538877
7794.81,0.229154793
8359.21,0.247675361
8829.33,0.263946411
9305.83,0.276949991
9859.7,0.290156027
10277.42,0.303309373
10743.63,0.311117098
11123.41,0.322091724
11457.15,0.327246763
11777.91,0.335305828
12179.24,0.344044922
12460.58,0.346989926
