H [Oe],sigma [emu/g]
19576.5,45.7323
18479.3,45.2251
17390.6,44.5626
16333.6,44.4386
15241.1,43.8429
14149.6,43.263
13058.2,42.681
11972.4,41.9973
10888.8,41.2725
9797.16,40.6637
8711.02,39.9857
7629.69,39.2198
6548.33,38.4543
5464,37.6824
4405.96,36.6389
3326.21,35.8313
2270.83,34.7878
1229.54,33.5677
204.086,32.2678
-771.299,30.697
-1769.13,29.1975
-2743.16,27.5446
-3669.81,25.7048
-4523.51,23.5472
-5317.76,21.1913
-5966.91,18.5091
-6490.02,15.5724
-6893.05,12.4987
-7236.79,9.35772
-7561.48,6.20857
-7861.25,3.02117
-8146.42,-0.166187
-8419.02,-3.37176
-8699.03,-6.5565
-8934.68,-9.77986
-9221.14,-12.9788
-9465.5,-16.1928
-9724.47,-19.4071
-10076.9,-22.5431
-10404.4,-25.7067
-10819.8,-28.764
-11297.5,-31.7551
-11884.3,-34.5916
-12642.4,-37.0329
-13542.7,-39.0158
-14493.9,-40.7482
-15507.9,-42.1147
-16550.1,-43.2578
-17538.9,-44.6253
-18628.4,-45.2426
-19711.2,-45.7915
-18804.7,-45.3725
-17715.2,-44.7563
-16662.5,-44.4871
-15562.5,-44.0574
-14474.4,-43.4149
-13382.4,-42.8118
-12293.4,-42.1234
-11204,-41.4736
-10126.2,-40.7186
-9040.16,-40.037
-7949.04,-39.3891
-6872.2,-38.541
-5794.78,-37.7279
-4728.6,-36.8115
-3665.95,-35.8474
-2601.69,-34.8749
-1569.35,-33.648
-574.273,-32.1496
346.497,-30.388
1251.42,-28.4248
2127.32,-26.3467
3001.95,-24.2705
3862.27,-22.1415
4657.81,-19.79
5418.25,-17.3599
6059.61,-14.6299
6526.05,-11.6298
6906.68,-8.52666
7258.1,-5.39955
7600.31,-2.24366
7907.02,0.888404
8169.91,4.08648
8432.8,7.26729
8695.7,10.4775
8975.34,13.6503
9233.23,16.8548
9506.38,20.0652
9859.77,23.2099
10158.6,26.3886
10561.5,29.4543
11043.1,32.4294
11671.5,35.1897
12464.9,37.5477
13376.5,39.436
14369.2,40.9447
15387.6,42.2982
16443.2,43.3597
17390.6,44.5626
18479.3,45.2251
