H [A/m],B [T]
43.5209,0.401254
41.9026,0.389611
38.9302,0.398792
35.0243,0.393904
31.1938,0.387509
27.3806,0.380882
23.6883,0.372897
20.2401,0.36266
16.7535,0.352757
13.2387,0.343049
9.9703,0.331546
6.67802,0.320164
3.50641,0.308053
0.548764,0.294718
-2.31643,0.280942
-4.95418,0.266138
-7.36609,0.250468
-9.62907,0.234307
-11.7497,0.217688
-13.7911,0.200853
-15.7217,0.183758
-17.2793,0.165759
-18.9974,0.148127
-20.2621,0.129629
-21.0661,0.110554
-22.4146,0.0921766
-23.7084,0.0737156
-24.6649,0.0547866
-25.4323,0.035648
-26.1692,0.0164963
-26.9727,-0.00261476
-27.6417,-0.0218453
-28.3213,-0.0410504
-29.2796,-0.0599937
-29.9126,-0.0792347
-30.3176,-0.0985889
-31.0489,-0.117766
-31.7095,-0.136984
-32.296,-0.156274
-32.7245,-0.175663
-33.3371,-0.194935
-33.9875,-0.21418
-34.5595,-0.23348
-35.2806,-0.252657
-35.9933,-0.271836
-36.6913,-0.291002
-37.5055,-0.31009
-38.5711,-0.328903
-39.6937,-0.34764
-41.0102,-0.366069
-42.2955,-0.384551
-39.522,-0.393617
-35.5377,-0.390241
-31.6605,-0.384621
-28.0175,-0.376116
-24.4387,-0.366951
-20.8354,-0.358009
-17.2113,-0.349265
-13.5825,-0.3406
-10.3646,-0.328766
-7.28176,-0.316103
-4.27157,-0.30307
-1.57085,-0.288531
1.2227,-0.274405
3.72293,-0.259062
6.15495,-0.24346
8.48378,-0.22751
10.6496,-0.211044
12.5791,-0.193908
14.246,-0.176133
15.7818,-0.158089
17.2122,-0.139851
18.528,-0.121188
19.7931,-0.102904
21.0592,-0.0844025
22.3447,-0.065933
22.9954,-0.0467193
23.7686,-0.0276046
24.8026,-0.00875161
25.5394,0.0104132
26.3898,0.0294763
27.0277,0.0487323
27.5809,0.0680302
28.5624,0.0869475
29.5958,0.10577
30.1301,0.125077
30.4865,0.144493
31.0819,0.163771
31.9287,0.182838
32.8071,0.201863
33.3959,0.221149
33.8918,0.240496
34.4238,0.259826
35.2357,0.278908
36.3705,0.297604
36.9812,0.316861
37.9177,0.335803
39.2009,0.354299
39.9941,0.373319
