H(A/m),B(T)
625.806452,1.154930
601.285122,1.154930
576.763792,1.153796
552.242462,1.151468
527.721132,1.148801
503.199802,1.145536
478.678472,1.142117
454.157142,1.138475
429.635813,1.133923
405.114483,1.128001
380.593154,1.121211
356.071826,1.112538
331.550497,1.103029
307.029170,1.091865
282.507843,1.079687
257.986517,1.065979
233.465192,1.050174
208.943867,1.033504
184.422544,1.015660
159.901222,0.995468
135.379902,0.974103
110.858583,0.951564
86.337267,0.925227
61.815954,0.896701
37.294648,0.864653
12.773349,0.827323
-11.747945,0.787733
-36.269222,0.737722
-60.786973,0.680676
-85.290639,0.609577
-109.762615,0.506856
-134.188816,0.358461
-158.530511,0.125743
-182.844037,-0.135082
-207.224464,-0.329152
-231.647144,-0.481061
-256.108557,-0.594321
-280.598138,-0.679475
-305.098283,-0.754088
-329.612512,-0.814647
-354.133786,-0.867188
-378.655078,-0.908039
-403.176373,-0.947075
-427.697678,-0.980249
-452.218995,-1.004183
-476.740305,-1.032709
-501.261613,-1.062997
-525.782927,-1.089763
-550.304241,-1.116529
-574.822027,-1.151683
-568.398583,-1.153978
-543.877253,-1.150890
-519.355924,-1.148073
-494.834594,-1.142534
-470.313265,-1.137165
-445.791935,-1.131217
-421.270606,-1.124340
-396.749277,-1.117195
-372.227949,-1.108440
-347.706620,-1.098999
-323.185292,-1.089701
-298.663965,-1.078290
-274.142638,-1.065993
-249.621311,-1.053491
-225.099986,-1.038218
-200.578661,-1.022722
-176.057337,-1.004877
-151.536016,-0.984686
-127.014696,-0.962586
-102.493379,-0.937581
-77.972065,-0.909657
-53.450757,-0.878767
-28.929456,-0.843198
-4.408163,-0.802347
20.113125,-0.758908
44.634397,-0.705376
69.148626,-0.644816
93.638208,-0.559663
118.096099,-0.442889
142.490611,-0.262873
166.842868,-0.040695
191.195126,0.181482
215.582596,0.368525
240.022881,0.502867
264.494857,0.605587
288.980918,0.694254
313.488105,0.761840
338.002334,0.822399
362.523618,0.868890
387.044907,0.911859
411.566207,0.947785
436.087514,0.979532
460.608827,1.008059
485.130143,1.033780
509.651462,1.057493
534.172783,1.077684
558.694104,1.097876
583.215427,1.116894
607.736743,1.140130
625.806452,1.154930
