H [A/m],B [T]
633.741,1.15606
597.851,1.14563
561.849,1.15258
525.774,1.14259
489.242,1.13868
452.938,1.13172
416.77,1.1213
380.775,1.11025
344.765,1.09795
308.983,1.08299
273.403,1.06731
237.748,1.05011
203.158,1.02549
168.603,1.00182
134.639,0.972587
101.683,0.938674
68.767,0.904573
38.2624,0.861894
7.00463,0.82124
-18.6526,0.765933
-46.6196,0.715082
-70.5722,0.656751
-90.0655,0.593559
-106.978,0.526529
-118.266,0.455347
-130.6,0.384532
-138.744,0.310037
-147.809,0.236676
-155.355,0.163601
-161.806,0.0883242
-166.644,0.0106307
-172.929,-0.0661366
-181.759,-0.13963
-190.832,-0.214409
-200.817,-0.287888
-211.202,-0.36111
-225.853,-0.429603
-234.186,-0.504247
-250.499,-0.571082
-268.788,-0.637695
-291.675,-0.699531
-312.801,-0.761788
-335.826,-0.821436
-362.199,-0.876789
-390.781,-0.926144
-420.491,-0.972327
-452.115,-1.01079
-484.08,-1.04865
-517.299,-1.08132
-550.204,-1.1155
-583.491,-1.14459
-560.437,-1.14517
-524.133,-1.13822
-487.83,-1.13127
-451.66,-1.1217
-415.421,-1.11389
-379.578,-1.09998
-343.489,-1.08926
-307.877,-1.07285
-272.278,-1.05654
-236.784,-1.03799
-202.004,-1.01531
-167.101,-0.991599
-133.177,-0.962381
-99.8099,-0.930937
-68.1767,-0.891271
-36.7418,-0.85073
-7.18197,-0.804907
21.7175,-0.75629
47.8317,-0.702276
70.6371,-0.642248
91.4648,-0.577954
104.839,-0.50781
122.14,-0.442708
131.687,-0.368563
144.587,-0.29872
152.809,-0.223531
160.012,-0.149022
168.315,-0.0740175
180.065,-0.00189671
184.593,0.0752351
192.965,0.150407
202.104,0.223283
210.704,0.298067
221.054,0.371328
233.503,0.442424
246.903,0.513381
264.049,0.580128
282.169,0.64616
302.61,0.70933
323.777,0.772794
347.734,0.832687
377.056,0.879488
403.938,0.929707
435.168,0.971112
466.603,1.01165
498.831,1.0487
532.014,1.08154
565.688,1.11218
597.851,1.14563
