H (A/m),B (T)
-54851.9,-0.66393
-52173.6,-0.65524
-49512.5,-0.64534
-46918.6,-0.63024
-44242.6,-0.62322
-41610.7,-0.61039
-38944.7,-0.60206
-36259.5,-0.59558
-33602.3,-0.5845
-30961.1,-0.57149
-28313.6,-0.55924
-25678.3,-0.54565
-23051.3,-0.5314
-20418.8,-0.51756
-17821.6,-0.50124
-15236.1,-0.48414
-12660.8,-0.46629
-10120.2,-0.44621
-7580.6,-0.42607
-5095.4,-0.40314
-2618.3,-0.3799
-1342.8,-0.33279
1294.1,-0.31967
3641.4,-0.29587
5680.1,-0.25811
7551.6,-0.21672
9151.5,-0.17057
10522.3,-0.12118
11656.9,-0.06925
12591.7,-0.01549
13527.7,0.03825
14406.7,0.09242
15368.8,0.14596
16379.9,0.19909
17535,0.25089
18903.9,0.3003
20488.7,0.34671
22253.3,0.39011
24286.4,0.42796
26491.7,0.46125
28832.8,0.49012
31223.8,0.51713
33735.1,0.53871
36265.3,0.55919
38604.6,0.58696
41243.6,0.59737
43843.6,0.61316
46437.9,0.62628
49112.5,0.63561
51735.5,0.65013
54411.2,0.65906
52517.5,0.65224
49879.5,0.63942
47210,0.62957
44555.9,0.62022
42007.6,0.60149
39344.1,0.593
36658.2,0.59223
33998.2,0.58115
31349.2,0.56911
28711.1,0.55586
26075.4,0.54232
23449.5,0.52794
20815.3,0.51424
18220.6,0.49778
15626.3,0.4813
13043.3,0.46393
10506,0.44376
7967.4,0.42357
5473.8,0.40117
3033.7,0.3762
660.6,0.34855
-1632.8,0.31806
-3835.5,0.28513
-5860.2,0.24704
-7686.1,0.20476
-9299.4,0.15876
-10615.7,0.10873
-11738.7,0.05662
-12735.6,0.00339
-13626.4,-0.0507
-14541.8,-0.1046
-15476.4,-0.15836
-16521.7,-0.21119
-17737.6,-0.26237
-19139.1,-0.31133
-20763.8,-0.35716
-22584.7,-0.39955
-24660.6,-0.43636
-26882.2,-0.46912
-29194.3,-0.49895
-31632.3,-0.52358
-34120.7,-0.54622
-36672.3,-0.56565
-39154.2,-0.58754
-41610.7,-0.61039
-44242.6,-0.62322
-46918.6,-0.63024
-49512.5,-0.64534
-52173.6,-0.65524
