H [A/m],B [T]
54941.6,0.662088
52291.6,0.651129
49651.9,0.640169
47004.2,0.630242
44367.2,0.61825
41710.4,0.61277
39070.6,0.60181
36430.8,0.59085
33791,0.579891
31165.3,0.567107
28534.5,0.554973
25913.8,0.541532
23299.6,0.527241
20688.8,0.512509
18084.6,0.49691
15493.8,0.479578
12915.9,0.461687
10355.2,0.442477
7843.7,0.421138
5362.33,0.398204
2937.23,0.372886
564.497,0.34524
-1700.64,0.31336
-3884.99,0.27903
-5907.86,0.240537
-7665.02,0.196651
-9250.6,0.149873
-10524.6,0.0994211
-11571.8,0.0467466
-12540.9,-0.0067092
-13439.4,-0.0606634
-14349.8,-0.114469
-15307,-0.168073
-16393.8,-0.22034
-17625.2,-0.271143
-19088.8,-0.319543
-20757.6,-0.364912
-22647.9,-0.406296
-24809.1,-0.441181
-27051.3,-0.473857
-29421.8,-0.500703
-31802.9,-0.527299
-34296.9,-0.549421
-36858.4,-0.568599
-39449.2,-0.585931
-42035.2,-0.602315
-44535.3,-0.622661
-47173,-0.633897
-49817.8,-0.644857
-52467.3,-0.655034
-54862.5,-0.664036
-52214,-0.653697
-49556.8,-0.644857
-46925.1,-0.632184
-44287.7,-0.620917
-41638.8,-0.615963
-39001.4,-0.604696
-36363.9,-0.593429
-33726.5,-0.582162
-31089.2,-0.570878
-28470.5,-0.557179
-25840.9,-0.544896
-23223.4,-0.53103
-20612.6,-0.516298
-18008.5,-0.500699
-15411,-0.484233
-12826.8,-0.466035
-10279,-0.446266
-7763.54,-0.425048
-5268.35,-0.40276
-2841.25,-0.377544
-472.854,-0.349762
1814.63,-0.318577
3972.23,-0.283461
5995.64,-0.245023
7774.92,-0.201509
9299.47,-0.154027
10555.5,-0.103359
11610.1,-0.0507603
12552.2,0.00300087
13450.7,0.0572117
14312.1,0.111807
15247.9,0.165633
16332.3,0.217924
17602.5,0.268294
19027.4,0.317087
20678.6,0.362813
22579.6,0.403991
24704.2,0.439859
26936.1,0.472839
29300.8,0.500663
31743.5,0.525022
34245.2,0.546784
36793,0.566553
39383.9,0.583885
41974.4,0.60046
44367.2,0.61825
47004.2,0.630242
49651.9,0.640169
52291.6,0.651129
