H [Oe],sigma [emu/g]
20020.1,50.3481
17450.4,49.5137
15012.6,48.1508
12482.6,46.8952
9952.49,45.6396
9109.13,45.1688
8951,42.8145
8054.93,42.6576
7053.44,41.7158
6051.95,40.4602
5050.46,39.0477
4048.98,37.4782
2994.78,35.4378
1940.58,33.3974
991.797,31.671
780.957,29.3167
411.987,26.9625
95.7276,24.6082
-115.112,21.94
-325.952,19.2719
-694.922,15.505
-905.762,12.2091
-1063.89,9.85481
-1011.18,6.87274
-2012.67,2.00726
-3014.16,-4.11382
-4015.65,-12.2753
-5017.14,-20.5937
-6018.63,-28.1273
-7020.12,-34.5623
-7968.9,-39.8986
-8021.61,-42.7238
-8990.09,-42.7837
-9023.1,-44.1363
-9977.81,-44.241
-9919.17,-45.3919
-12502,-46.8045
-15032,-48.0601
-17509.4,-49.0018
-19986.8,-49.3157
-7020.12,-41.782
-6071.34,-40.5264
-5017.14,-39.1139
-4015.65,-37.3874
-2961.45,-35.3471
-1959.96,-33.4636
-1063.89,-31.8941
-800.342,-29.226
-378.662,-26.8717
-9.69233,-23.2618
306.567,-19.3381
622.827,-15.2573
833.667,-12.5892
991.797,-10.078
991.797,-6.78199
1993.29,-2.07346
2994.78,4.04762
3996.27,12.2091
4997.75,20.5275
5999.24,28.2181
7000.73,34.81
8002.22,39.8324
10004.5,44.4131
12511.8,46.5991
15019.1,48.0564
