url_path,views_total,views_unique
/jsilveyra/mag-analyst,14,4
/jsilveyra/mag-analyst/projects,7,2
/jsilveyra/mag-analyst/commits/development,6,1
/jsilveyra/mag-analyst/blob/main/README.md,4,2
/jsilveyra/mag-analyst/tree/development,4,1
/jsilveyra/mag-analyst/pulls,2,1
/jsilveyra/mag-analyst/commit/3228c972c7965a43fcd1d9e3e9b26afbafa94880,1,1
/jsilveyra/mag-analyst/commit/d278d7dbc1ccbb208405ac57b9fdf3baf671de9a,1,1
/jsilveyra/mag-analyst/commit/dda1a5c6ca9ce2c8b974bc7a2d3e2fc9e414336b,1,1
/jsilveyra/mag-analyst/commits/main,1,1
