time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,11,6,1,1
2026-06-09 00:00:00+00:00,3,2,0,0
2026-06-10 00:00:00+00:00,11,7,0,0
2026-06-11 00:00:00+00:00,19,5,0,0
2026-06-12 00:00:00+00:00,46,19,0,0
2026-06-13 00:00:00+00:00,23,8,0,0
2026-06-14 00:00:00+00:00,30,10,0,0
2026-06-15 00:00:00+00:00,15,5,4,1
2026-06-16 00:00:00+00:00,51,17,9,2
2026-06-17 00:00:00+00:00,34,9,0,0
2026-06-18 00:00:00+00:00,23,8,0,0
2026-06-19 00:00:00+00:00,19,6,0,0
2026-06-20 00:00:00+00:00,32,10,2,1
2026-06-21 00:00:00+00:00,47,10,3,2
